G,Date,Time,Opponent,result,Tm,Opp,W,L,Streak,Notes
67,"Wed, Mar 15, 2017",8:00p ET,Portland Trail Blazers,L,106,110,52,15,L 1,
68,"Sat, Mar 18, 2017",9:00p ET,Memphis Grizzlies,L,96,104,52,16,L 2,
69,"Sun, Mar 19, 2017",7:00p ET,Sacramento Kings,W,118,102,53,16,W 1,
70,"Tue, Mar 21, 2017",9:30p ET,Minnesota Timberwolves,W,100,93,54,16,W 2,
71,"Thu, Mar 23, 2017",8:30p ET,Memphis Grizzlies,W,97,90,55,16,W 3,
72,"Sat, Mar 25, 2017",8:30p ET,New York Knicks,W,106,98,56,16,W 4,
73,"Mon, Mar 27, 2017",8:00p ET,Cleveland Cavaliers,W,103,74,57,16,W 5,
74,"Wed, Mar 29, 2017",9:30p ET,Golden State Warriors,L,98,110,57,17,L 1,
75,"Fri, Mar 31, 2017",8:00p ET,Oklahoma City Thunder,W,100,95,58,17,W 1,
76,"Sun, Apr 2, 2017",3:30p ET,Utah Jazz,W,109,103,59,17,W 2,
77,"Tue, Apr 4, 2017",8:30p ET,Memphis Grizzlies,W,95,89,60,17,W 3,
78,"Wed, Apr 5, 2017",8:30p ET,Los Angeles Lakers,L,95,102,60,18,L 1,
79,"Fri, Apr 7, 2017",8:30p ET,Dallas Mavericks,W,102,89,61,18,W 1,
80,"Sat, Apr 8, 2017",8:30p ET,Los Angeles Clippers,L,87,98,61,19,L 1,
81,"Mon, Apr 10, 2017",10:00p ET,Portland Trail Blazers,L,98,99,61,20,L 2,
82,"Wed, Apr 12, 2017",9:00p ET,Utah Jazz,L,97,101,61,21,L 3,
